source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-05-26T18:03:24+00:00,3117735,Madrid,ES,2026-05-26,40.4375,-3.6875,Europe/Madrid,32.0,17.5,24.7,0.0,0.0,0.0,9.2
forecast,2026-05-26T18:03:24+00:00,3117735,Madrid,ES,2026-05-27,40.4375,-3.6875,Europe/Madrid,33.9,17.8,26.0,0.0,0.0,0.0,11.3
forecast,2026-05-26T18:03:24+00:00,3117735,Madrid,ES,2026-05-28,40.4375,-3.6875,Europe/Madrid,33.6,17.3,26.3,0.0,0.0,0.0,5.0
forecast,2026-05-26T18:03:24+00:00,3117735,Madrid,ES,2026-05-29,40.4375,-3.6875,Europe/Madrid,34.9,18.6,27.4,0.0,0.0,0.0,5.9
forecast,2026-05-26T18:03:24+00:00,3117735,Madrid,ES,2026-05-30,40.4375,-3.6875,Europe/Madrid,35.2,19.2,27.4,0.0,0.0,0.0,10.0
forecast,2026-05-26T18:03:24+00:00,3117735,Madrid,ES,2026-05-31,40.4375,-3.6875,Europe/Madrid,34.3,18.9,27.3,0.0,0.0,0.0,19.7
forecast,2026-05-26T18:03:24+00:00,3117735,Madrid,ES,2026-06-01,40.4375,-3.6875,Europe/Madrid,33.3,19.0,26.5,0.0,0.0,0.0,7.8
forecast,2026-05-26T18:03:24+00:00,3128760,Barcelona,ES,2026-05-26,41.375,2.125,Europe/Madrid,27.3,17.6,22.9,0.0,0.0,0.0,12.0
forecast,2026-05-26T18:03:24+00:00,3128760,Barcelona,ES,2026-05-27,41.375,2.125,Europe/Madrid,27.8,18.7,23.5,0.0,0.0,0.0,14.9
forecast,2026-05-26T18:03:24+00:00,3128760,Barcelona,ES,2026-05-28,41.375,2.125,Europe/Madrid,30.3,20.5,25.2,0.0,0.0,0.0,13.2
forecast,2026-05-26T18:03:24+00:00,3128760,Barcelona,ES,2026-05-29,41.375,2.125,Europe/Madrid,29.6,22.3,25.8,0.0,0.0,0.0,11.9
forecast,2026-05-26T18:03:24+00:00,3128760,Barcelona,ES,2026-05-30,41.375,2.125,Europe/Madrid,26.1,20.1,23.1,0.0,0.0,0.0,10.7
forecast,2026-05-26T18:03:24+00:00,3128760,Barcelona,ES,2026-05-31,41.375,2.125,Europe/Madrid,27.1,20.6,23.4,0.0,0.0,0.0,11.9
forecast,2026-05-26T18:03:24+00:00,3128760,Barcelona,ES,2026-06-01,41.375,2.125,Europe/Madrid,26.2,19.8,22.9,0.0,0.0,0.0,16.6
forecast,2026-05-26T18:03:24+00:00,2509954,Valencia,ES,2026-05-26,39.5,-0.375,Europe/Madrid,28.0,16.2,22.4,0.0,0.0,0.0,14.3
forecast,2026-05-26T18:03:24+00:00,2509954,Valencia,ES,2026-05-27,39.5,-0.375,Europe/Madrid,29.0,16.7,22.7,0.0,0.0,0.0,14.4
forecast,2026-05-26T18:03:24+00:00,2509954,Valencia,ES,2026-05-28,39.5,-0.375,Europe/Madrid,29.9,16.3,23.2,0.0,0.0,0.0,13.8
forecast,2026-05-26T18:03:24+00:00,2509954,Valencia,ES,2026-05-29,39.5,-0.375,Europe/Madrid,31.8,18.3,25.3,0.0,0.0,0.0,13.5
forecast,2026-05-26T18:03:24+00:00,2509954,Valencia,ES,2026-05-30,39.5,-0.375,Europe/Madrid,27.0,19.3,23.6,0.0,0.0,0.0,15.4
forecast,2026-05-26T18:03:24+00:00,2509954,Valencia,ES,2026-05-31,39.5,-0.375,Europe/Madrid,28.1,19.6,23.6,0.0,0.0,0.0,15.2
forecast,2026-05-26T18:03:24+00:00,2509954,Valencia,ES,2026-06-01,39.5,-0.375,Europe/Madrid,27.9,19.4,23.5,0.0,0.0,0.0,16.9
forecast,2026-05-26T18:03:24+00:00,2510911,Seville,ES,2026-05-26,37.375,-6.0,Europe/Madrid,35.2,18.9,26.8,0.0,0.0,0.0,10.5
forecast,2026-05-26T18:03:24+00:00,2510911,Seville,ES,2026-05-27,37.375,-6.0,Europe/Madrid,35.6,19.6,27.5,0.0,0.0,0.0,14.0
forecast,2026-05-26T18:03:24+00:00,2510911,Seville,ES,2026-05-28,37.375,-6.0,Europe/Madrid,33.6,18.8,25.8,0.0,0.0,0.0,15.9
forecast,2026-05-26T18:03:24+00:00,2510911,Seville,ES,2026-05-29,37.375,-6.0,Europe/Madrid,35.0,18.0,25.8,0.0,0.0,0.0,13.4
forecast,2026-05-26T18:03:24+00:00,2510911,Seville,ES,2026-05-30,37.375,-6.0,Europe/Madrid,36.5,18.9,27.0,0.0,0.0,0.0,12.7
forecast,2026-05-26T18:03:24+00:00,2510911,Seville,ES,2026-05-31,37.375,-6.0,Europe/Madrid,38.8,20.1,28.9,0.0,0.0,0.0,13.8
forecast,2026-05-26T18:03:24+00:00,2510911,Seville,ES,2026-06-01,37.375,-6.0,Europe/Madrid,39.9,20.1,29.7,0.0,0.0,0.0,17.8
forecast,2026-05-26T18:03:24+00:00,3128026,Bilbao,ES,2026-05-26,43.26,-2.9300003,Europe/Madrid,37.7,23.3,30.0,0.0,0.0,0.0,14.8
