location_id,city_name,country,country_code,admin1,latitude,longitude,timezone,elevation,population,extracted_at
3117735,Madrid,Spain,ES,Madrid,40.4165,-3.70256,Europe/Madrid,665.0,3255944,2026-05-26T18:03:24+00:00
3128760,Barcelona,Spain,ES,Catalonia,41.38879,2.15899,Europe/Madrid,15.0,1686208,2026-05-26T18:03:24+00:00
2509954,Valencia,Spain,ES,Valencia,39.47391,-0.37966,Europe/Madrid,15.0,824340,2026-05-26T18:03:24+00:00
2510911,Seville,Spain,ES,Andalusia,37.38283,-5.97317,Europe/Madrid,16.0,686741,2026-05-26T18:03:24+00:00
3128026,Bilbao,Spain,ES,Basque Country,43.26271,-2.92528,Europe/Madrid,20.0,347342,2026-05-26T18:03:24+00:00
5174035,Toledo,United States,US,Ohio,41.66394,-83.55521,America/New_York,186.0,265638,2026-05-26T18:03:24+00:00
2522258,Albacete,Spain,ES,Castille-La Mancha,38.99424,-1.85643,Europe/Madrid,695.0,173050,2026-05-26T18:03:24+00:00
2519402,Ciudad Real,Spain,ES,Castille-La Mancha,38.98626,-3.92907,Europe/Madrid,633.0,74743,2026-05-26T18:03:24+00:00
3658666,Cuenca,Ecuador,EC,Azuay,-2.8953,-78.9963,America/Guayaquil,2484.0,636996,2026-05-26T18:03:24+00:00
4005539,Guadalajara,Mexico,MX,Jalisco,20.67738,-103.34749,America/Mexico_City,1546.0,1385629,2026-05-26T18:03:24+00:00
2521886,Almería,Spain,ES,Andalusia,36.83814,-2.45974,Europe/Madrid,21.0,196851,2026-05-26T18:03:24+00:00
2520600,Cadiz,Spain,ES,Andalusia,36.52672,-6.2891,Europe/Madrid,22.0,116979,2026-05-26T18:03:24+00:00
3860259,Córdoba,Argentina,AR,Cordoba,-31.40648,-64.18853,America/Argentina/Cordoba,378.0,2106734,2026-05-26T18:03:24+00:00
2517117,Granada,Spain,ES,Andalusia,37.18817,-3.60667,Europe/Madrid,689.0,233532,2026-05-26T18:03:24+00:00
2516548,Huelva,Spain,ES,Andalusia,37.26638,-6.94004,Europe/Madrid,34.0,144258,2026-05-26T18:03:24+00:00
2516395,Jaén,Spain,ES,Andalusia,37.76922,-3.79028,Europe/Madrid,558.0,113457,2026-05-26T18:03:24+00:00
2514256,Málaga,Spain,ES,Andalusia,36.72016,-4.42034,Europe/Madrid,22.0,592346,2026-05-26T18:03:24+00:00
3120514,Huesca,Spain,ES,Aragon,42.13615,-0.4087,Europe/Madrid,476.0,53956,2026-05-26T18:03:24+00:00
3108126,Teruel,Spain,ES,Aragon,40.3456,-1.10646,Europe/Madrid,908.0,36240,2026-05-26T18:03:24+00:00
3104324,Zaragoza,Spain,ES,Aragon,41.65606,-0.87734,Europe/Madrid,214.0,686986,2026-05-26T18:03:24+00:00
3114711,Oviedo,Spain,ES,Principality of Asturias,43.36029,-5.84476,Europe/Madrid,237.0,220027,2026-05-26T18:03:24+00:00
3820903,Palma de Mallorca,Mexico,MX,Campeche,18.72917,-91.65694,America/Merida,1.0,,2026-05-26T18:03:24+00:00
4568175,San Sebastian,,PR,San Sebastián,18.33662,-66.99018,America/Puerto_Rico,77.0,11590,2026-05-26T18:03:24+00:00
3104499,Vitoria-Gasteiz,Spain,ES,Basque Country,42.84998,-2.67268,Europe/Madrid,547.0,257407,2026-05-26T18:03:24+00:00
3109718,Santander,Spain,ES,Cantabria,43.46589,-3.80493,Europe/Madrid,1.0,173635,2026-05-26T18:03:24+00:00
3129136,Ávila,Spain,ES,Castille and León,40.65724,-4.69951,Europe/Madrid,1127.0,57657,2026-05-26T18:03:24+00:00
3127461,Burgos,Spain,ES,Castille and León,42.34106,-3.70184,Europe/Madrid,863.0,176418,2026-05-26T18:03:24+00:00
3998655,León,Mexico,MX,Guanajuato,21.12908,-101.67374,America/Mexico_City,1806.0,1579803,2026-05-26T18:03:24+00:00
3114531,Palencia,Spain,ES,Castille and León,42.00955,-4.52406,Europe/Madrid,739.0,78629,2026-05-26T18:03:24+00:00
3111108,Salamanca,Spain,ES,Castille and León,40.96882,-5.66388,Europe/Madrid,815.0,144825,2026-05-26T18:03:24+00:00
3109256,Segovia,Spain,ES,Castille and León,40.94808,-4.11839,Europe/Madrid,996.0,51683,2026-05-26T18:03:24+00:00
3108681,Soria,Spain,ES,Castille and León,41.76401,-2.46883,Europe/Madrid,1064.0,39112,2026-05-26T18:03:24+00:00
3106672,Valladolid,Spain,ES,Castille and León,41.65541,-4.72353,Europe/Madrid,702.0,300618,2026-05-26T18:03:24+00:00
3979802,Zamora,Mexico,MX,Michoacán,19.98404,-102.28634,America/Mexico_City,1588.0,186102,2026-05-26T18:03:24+00:00
3121456,Girona,Spain,ES,Catalonia,41.98311,2.82493,Europe/Madrid,81.0,100266,2026-05-26T18:03:24+00:00
3118514,Lleida,Spain,ES,Catalonia,41.61674,0.62218,Europe/Madrid,155.0,140797,2026-05-26T18:03:24+00:00
3108288,Tarragona,Spain,ES,Catalonia,41.11905,1.24544,Europe/Madrid,60.0,141542,2026-05-26T18:03:24+00:00
2521420,Badajoz,Spain,ES,Extremadura,38.87789,-6.97061,Europe/Madrid,192.0,150530,2026-05-26T18:03:24+00:00
2520611,Cáceres,Spain,ES,Extremadura,39.47649,-6.37224,Europe/Madrid,441.0,96068,2026-05-26T18:03:24+00:00
3119841,A Coruña,Spain,ES,Galicia,43.37135,-8.396,Europe/Madrid,22.0,250438,2026-05-26T18:03:24+00:00
3117814,Lugo,Spain,ES,Galicia,43.00992,-7.55602,Europe/Madrid,465.0,98025,2026-05-26T18:03:24+00:00
3114965,Ourense,Spain,ES,Galicia,42.33669,-7.86407,Europe/Madrid,146.0,105233,2026-05-26T18:03:24+00:00
3113209,Pontevedra,Spain,ES,Galicia,42.431,-8.64435,Europe/Madrid,29.0,82802,2026-05-26T18:03:24+00:00
3118150,Logroño,Spain,ES,La Rioja,42.46615,-2.45115,Europe/Madrid,380.0,151164,2026-05-26T18:03:24+00:00
2513416,Murcia,Spain,ES,Murcia,37.98704,-1.13004,Europe/Madrid,53.0,471982,2026-05-26T18:03:24+00:00
3114472,Pamplona,Spain,ES,Navarre,42.81687,-1.64323,Europe/Madrid,460.0,208243,2026-05-26T18:03:24+00:00
2521978,Alicante,Spain,ES,Valencia,38.34517,-0.48149,Europe/Madrid,18.0,348901,2026-05-26T18:03:24+00:00
8435668,Castellón Aerodrome,Spain,ES,Valencia,39.99902,0.02618,Europe/Madrid,,,2026-05-26T18:03:24+00:00
2515270,Las Palmas de Gran Canaria,Spain,ES,Canary Islands,28.10178,-15.41573,Atlantic/Canary,122.0,383516,2026-05-26T18:03:24+00:00
2511174,Santa Cruz de Tenerife,Spain,ES,Canary Islands,28.46824,-16.25462,Atlantic/Canary,10.0,211359,2026-05-26T18:03:24+00:00
6362987,Ceuta,Spain,ES,Ceuta,35.88919,-5.32042,Europe/Madrid,22.0,83179,2026-05-26T18:03:24+00:00
2513947,Melilla,Spain,ES,Melilla,35.29369,-2.93833,Africa/Ceuta,14.0,85985,2026-05-26T18:03:24+00:00
