source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T09:00:42+00:00,900001,Almería,ES,2026-06-08,36.875,-2.4375,Europe/Madrid,26.9,21.0,24.0,0.0,0.0,0.0,16.6
forecast,2026-06-08T09:00:42+00:00,900001,Almería,ES,2026-06-09,36.875,-2.4375,Europe/Madrid,28.1,21.3,24.0,0.0,0.0,0.0,15.5
forecast,2026-06-08T09:00:42+00:00,900001,Almería,ES,2026-06-10,36.875,-2.4375,Europe/Madrid,30.0,21.6,25.7,0.0,0.0,0.0,21.4
forecast,2026-06-08T09:00:42+00:00,900001,Almería,ES,2026-06-11,36.875,-2.4375,Europe/Madrid,30.4,22.8,26.4,0.0,0.0,0.0,25.9
forecast,2026-06-08T09:00:42+00:00,900001,Almería,ES,2026-06-12,36.875,-2.4375,Europe/Madrid,32.4,23.5,27.4,0.0,0.0,0.0,20.9
forecast,2026-06-08T09:00:42+00:00,900001,Almería,ES,2026-06-13,36.875,-2.4375,Europe/Madrid,33.7,23.4,28.2,0.0,0.0,0.0,28.5
forecast,2026-06-08T09:00:42+00:00,900001,Almería,ES,2026-06-14,36.875,-2.4375,Europe/Madrid,31.7,24.0,27.5,0.6,0.0,0.0,28.2
forecast,2026-06-08T09:00:42+00:00,900002,Cádiz,ES,2026-06-08,36.5,-6.3125,Europe/Madrid,22.6,21.2,21.9,0.0,0.0,0.0,16.1
forecast,2026-06-08T09:00:42+00:00,900002,Cádiz,ES,2026-06-09,36.5,-6.3125,Europe/Madrid,23.1,21.3,22.0,0.0,0.0,0.0,14.8
forecast,2026-06-08T09:00:42+00:00,900002,Cádiz,ES,2026-06-10,36.5,-6.3125,Europe/Madrid,23.4,20.3,21.7,0.0,0.0,0.0,15.2
forecast,2026-06-08T09:00:42+00:00,900002,Cádiz,ES,2026-06-11,36.5,-6.3125,Europe/Madrid,26.5,22.6,24.3,0.0,0.0,0.0,39.2
forecast,2026-06-08T09:00:42+00:00,900002,Cádiz,ES,2026-06-12,36.5,-6.3125,Europe/Madrid,26.6,21.8,24.0,0.0,0.0,0.0,39.0
forecast,2026-06-08T09:00:42+00:00,900002,Cádiz,ES,2026-06-13,36.5,-6.3125,Europe/Madrid,31.6,21.2,26.4,0.0,0.0,0.0,26.9
forecast,2026-06-08T09:00:42+00:00,900002,Cádiz,ES,2026-06-14,36.5,-6.3125,Europe/Madrid,26.4,19.5,22.9,12.9,12.3,0.0,20.1
forecast,2026-06-08T09:00:42+00:00,900003,Córdoba,ES,2026-06-08,37.875,-4.75,Europe/Madrid,36.0,20.6,28.1,0.0,0.0,0.0,14.8
forecast,2026-06-08T09:00:42+00:00,900003,Córdoba,ES,2026-06-09,37.875,-4.75,Europe/Madrid,37.6,18.9,28.7,0.0,0.0,0.0,14.3
forecast,2026-06-08T09:00:42+00:00,900003,Córdoba,ES,2026-06-10,37.875,-4.75,Europe/Madrid,37.3,20.7,29.2,0.0,0.0,0.0,14.6
forecast,2026-06-08T09:00:42+00:00,900003,Córdoba,ES,2026-06-11,37.875,-4.75,Europe/Madrid,36.4,21.1,28.0,0.0,0.0,0.0,21.8
forecast,2026-06-08T09:00:42+00:00,900003,Córdoba,ES,2026-06-12,37.875,-4.75,Europe/Madrid,37.9,20.4,28.7,0.0,0.0,0.0,12.4
forecast,2026-06-08T09:00:42+00:00,900003,Córdoba,ES,2026-06-13,37.875,-4.75,Europe/Madrid,38.0,17.8,28.4,0.0,0.0,0.0,12.8
